0,3/4,C,II,m,0
3/4,11/4,d,V,D7,0
11/4,7/2,d,I,unknown,0
7/2,19/4,d,I,m,0
19/4,27/4,d,V,D7,0
27/4,33/4,d,I,m,0
33/4,35/4,d,I,m,0
35/4,43/4,d,V,D7,0
43/4,51/4,d,I,m,0
51/4,59/4,d,VI,M,0
59/4,75/4,d,V,D7,0
75/4,39/2,d,I,unknown,0
39/2,83/4,d,I,m,0
83/4,91/4,d,I,D7,0
91/4,99/4,d,IV,m,0
99/4,103/4,d,II,h7,0
103/4,107/4,d,V,D7,0
107/4,28,d,I,m,0
28,115/4,d,I,m,0
115/4,123/4,d,V,D7,0
123/4,131/4,d,I,m,0
131/4,139/4,d,I,m7,0
139/4,147/4,F,II,m,0
147/4,155/4,F,V,M,0
155/4,39,F,I,M,0
39,163/4,F,I,M,0
163/4,171/4,F,III,M,0
171/4,179/4,F,VI,m,0
179/4,539/12,F,II,unknown,0
539/12,187/4,F,II,D7,0
187/4,195/4,F,V,D7,0
195/4,203/4,F,I,M,0
203/4,514081/10080,F,II,unknown,0
514081/10080,211/4,F,II,m,0
211/4,219/4,F,III,D7,0
219/4,227/4,F,II,m7,0
227/4,57,F,VII,M,0
57,235/4,F,VII,d7,0
235/4,243/4,F,I,M,0
243/4,251/4,F,V,D7,0
251/4,259/4,F,I,M,0
259/4,267/4,F,VI,m,0
267/4,275/4,F,IV,M,0
275/4,283/4,F,I,unknown,0
283/4,291/4,Bb,V,D7,0
291/4,295/4,Bb,I,unknown,0
295/4,299/4,Bb,I,M,0
299/4,307/4,Bb,III,D7,0
307/4,315/4,Bb,VI,unknown,0
315/4,947/12,Bb,VII,M,0
947/12,327/4,Bb,VII,D7,0
327/4,331/4,Bb,III,h7,0
331/4,339/4,Bb,VI,D7,0
339/4,347/4,Bb,II,M,0
347/4,355/4,Bb,III,D7,0
355/4,359/4,Bb,I,M,0
359/4,363/4,Bb,I,D7,0
363/4,371/4,Bb,II,D7,0
371/4,375/4,Bb,V,M,0
375/4,379/4,Bb,VI,D7,0
379/4,387/4,Bb,V,M,0
387/4,395/4,Bb,I,M,0
395/4,427/4,Bb,VII,unknown,0
