0,3,D,I,M,0
3,6,D,I,M,0
6,9,D,IV,m,0
9,12,D,I,M,0
12,18,D,I,M,0
18,21,D,IV,M,0
21,24,D,I,M,0
24,27,D,bIII,M,0
27,30,D,bVII,D7,0
30,33,D,bIII,M,0
33,36,D,bIII,M,0
36,39,D,V,M,0
39,42,D,II,D7,0
42,45,D,V,M,0
45,48,D,V,D7,0
48,51,D,I,M,0
51,54,D,I,M,0
54,57,D,IV,m,0
57,60,D,I,M,0
60,63,D,I,M,0
63,66,D,I,M,0
66,69,D,IV,M,0
69,72,D,I,M,0
72,75,D,III,D7,0
75,78,D,III,D7,0
78,81,D,VI,m,0
81,84,D,IV,M,0
84,87,D,I,M,0
87,90,D,V,D7,0
90,96,D,I,M,0
96,99,D,VI,m,0
99,102,D,II,m,0
102,105,D,III,D7,0
105,108,D,VI,m,0
108,111,D,II,m,0
111,114,D,VI,m,0
114,117,D,III,D7,0
117,120,D,VI,m,0
120,123,D,VI,m,0
123,126,D,II,m,0
126,129,D,III,D7,0
129,132,D,VI,m,0
132,135,D,II,m,0
135,138,D,VI,m,0
138,140,D,VII,D7,0
140,141,D,III,D7,0
141,147,D,VI,m,0
147,150,G,I,M,0
150,153,G,VI,D7,0
153,159,G,II,m,0
159,162,G,V,D7,0
162,165,G,V,D7,0
165,168,G,I,M,0
168,171,G,V,D7,0
171,174,G,I,M,0
174,177,G,VI,m,0
177,183,G,III,m,0
183,186,G,#IV,D7,0
186,189,G,VII,D7,0
189,192,G,III,m,0
192,195,G,V,D7,0
195,198,G,I,M,0
198,201,G,I,D7,0
201,204,G,IV,M,0
204,207,G,I,D7,0
207,210,G,IV,D7,0
210,213,G,IV,D7,0
213,219,G,bVII,M,0
219,222,G,III,D7,0
222,225,G,III,D7,0
225,228,G,VI,m,0
228,231,G,#IV,d,0
231,234,G,I,M,0
234,237,G,V,D7,0
237,243,G,I,M,0
