3/4,11/4,C,V,D7,0
11/4,19/4,C,I,M,0
19/4,27/4,C,V,D7,0
27/4,35/4,C,I,M,0
35/4,39/4,C,V,D7,0
39/4,43/4,C,III,D7,0
43/4,51/4,C,VI,m,0
51/4,55/4,C,III,m,0
55/4,59/4,C,VII,D7,0
59/4,67/4,C,III,m,0
67/4,75/4,C,V,D7,0
75/4,83/4,C,I,M,0
83/4,91/4,C,V,D7,0
91/4,95/4,C,I,M,0
95/4,99/4,C,I,D7,0
99/4,107/4,C,IV,M,0
107/4,111/4,C,III,M,0
111/4,115/4,C,VI,D7,0
115/4,119/4,C,II,M,0
119/4,123/4,C,V,D7,0
123/4,131/4,C,I,M,0
131/4,139/4,C,VI,m,0
139/4,147/4,C,bVII,M,0
147/4,155/4,C,III,D7,0
155/4,171/4,C,VI,m,0
171/4,179/4,C,III,M,0
179/4,183/4,C,#IV,D7,0
183/4,187/4,C,VII,D7,0
187/4,195/4,C,III,D7,0
195/4,203/4,C,VI,m,0
203/4,211/4,C,bVII,M,0
211/4,219/4,C,III,D7,0
219/4,227/4,C,VI,D7,0
227/4,235/4,C,II,m,0
235/4,243/4,C,VI,m,0
243/4,247/4,C,VII,D7,0
247/4,251/4,C,III,D7,0
251/4,259/4,C,VI,m,0
259/4,267/4,C,VI,m,0
267/4,275/4,C,I,M,0
275/4,283/4,F,V,D7,0
283/4,291/4,F,I,M,0
291/4,299/4,F,V,D7,0
299/4,307/4,F,I,M,0
307/4,315/4,F,V,D7,0
315/4,323/4,F,I,M,0
323/4,327/4,F,V,M,0
327/4,331/4,F,II,D7,0
331/4,339/4,F,V,M,0
339/4,347/4,F,V,D7,0
347/4,355/4,F,I,M,0
355/4,363/4,F,V,D7,0
363/4,371/4,F,I,M,0
371/4,379/4,F,VI,D7,0
379/4,383/4,F,II,m,0
383/4,387/4,F,#IV,d,0
387/4,391/4,F,I,M,0
391/4,395/4,F,V,D7,0
395/4,403/4,F,I,M,0
403/4,411/4,F,I,M,0
