	label	mc	mc_onset	mn_onset
0	Key=D	0	0	0
1	D	0	0	0
2	D/F#	1	0	0
3	G	2	0	0
4	D/F#	2	1/4	1/4
5	Em	2	1/2	1/2
6	D/F#	3	0	0
7	A	4	0	0
8	D/F#	5	0	0
9	G	6	0	0
10	D/F#	7	0	0
11	Do/F	8	0	0
12	F	9	0	0
13	C	10	0	0
14	A	11	0	0
15	D	13	0	0
16	A	14	0	0
17	D/F#	16	0	0
18	A	17	0	0
19	D/F#	18	0	0
20	C#o/E	18	1/2	1/2
21	D/F#	19	0	0
22	A	20	0	0
23	G	22	0	0
24	D/F#	23	0	0
25	Em	24	0	0
26	F#	24	1/4	1/4
27	F#/A#	24	1/2	1/2
28	C#o/E	26	0	0
29	A/C#	26	1/2	1/2
30	D	28	0	0
31	A	28	1/2	1/2
32	D	30	0	0
33	D/F#	30	1/2	1/2
34	Em	33	0	0
35	Key=A	34	0	0
36	E	34	0	0
37	Key=D	35	0	0
38	D	35	0	0
39	F#	36	1/8	1/8
40	A	36	1/4	1/4
41	A/C#	37	0	0
42	Key=b	38	0	0
43	Bm	38	0	0
44	A#o	38	1/2	1/2
45	Bm	39	0	0
46	F#	40	0	0
47	Em	41	0	0
48	E	42	0	0
49	D	43	0	0
50	F#	44	1/8	1/8
51	C#o	44	1/4	1/4
52	F#	45	0	0
53	Key=D	45	1/4	1/4
54	Bm	45	1/4	1/4
55	A/C#	46	0	0
56	E/G#	46	1/4	1/4
57	D	48	0	0
58	G	49	0	0
59	Key=b	49	1/2	1/2
60	G/B	49	1/2	1/2
61	A#o	50	1/4	1/4
62	Key=D	50	1/2	1/2
63	Em	50	1/2	1/2
64	Key=A	52	1/2	1/2
65	E	52	1/2	1/2
66	Key=D	53	1/2	1/2
67	A	53	1/2	1/2
68	Key=A	54	0	0
69	E/G#	54	0	0
70	Key=D	54	1/2	1/2
71	A	54	1/2	1/2
72	D	56	1/2	1/2
73	Key=b	57	0	0
74	G	57	0	0
75	Bm	57	1/2	1/2
76	A#o/C#	58	0	0
77	Bm	58	1/4	1/4
78	F#	60	1/2	1/2
79	A/C#	62	0	0
80	Bm	63	0	0
81	A#o	63	1/4	1/4
82	Key=G	64	0	0
83	D	64	0	0
84	G	65	0	0
85	G/B	65	1/2	1/2
86	C	66	0	0
87	Key=D	68	1/2	1/2
88	Em	68	1/2	1/2
89	A	69	0	0
90	Key=G	69	1/2	1/2
91	C	69	1/2	1/2
92	Key=C	70	1/4	1/4
93	G/B	70	1/4	1/4
94	Key=e	70	1/2	1/2
95	C	70	1/2	1/2
96	Em	72	1/2	1/2
97	B/D#	73	0	0
98	B	73	1/2	1/2
99	Key=G	75	0	0
100	D/F#	75	0	0
101	G	77	0	0
102	D	78	0	0
103	G	78	1/2	1/2
