	label	mc	mc_onset	mn_onset
0	Key=a	0	3/8	3/8
1	Am	0	3/8	3/8
2	E/G#	1	0	0
3	F	3	0	0
4	E7	4	1/4	1/4
5	Am	6	1/4	1/4
6	Key=C	9	0	0
7	G7/F	9	0	0
8	C/E	10	1/4	1/4
9	Dm/F	11	0	0
10	D/A	16	0	0
11	G7/Badd-3	17	0	0
12	C	19	0	0
13	Gm/B-	24	1/4	1/4
14	C	25	0	0
15	Key=d	26	1/4	1/4
16	D	26	1/4	1/4
17	F/A	27	0	0
18	Dm	31	1/4	1/4
19	Key=G	33	0	0
20	D	33	0	0
21	Key=D	33	1/4	1/4
22	Bm	33	1/4	1/4
23	Key=e	34	0	0
24	B/D#	34	0	0
25	Key=D	35	1/4	1/4
26	Em	35	1/4	1/4
27	C#o	36	0	0
28	A/C#	37	1/4	1/4
29	Key=b	38	0	0
30	F#7/A#	38	0	0
31	Key=D	39	1/4	1/4
32	Bm	39	1/4	1/4
33	Key=A	40	0	0
34	E7/G#	40	0	0
35	Key=D	41	1/4	1/4
36	A7/G	41	1/4	1/4
37	D/F#	42	0	0
38	Bm	43	1/4	1/4
39	Key=b	44	0	0
40	F#7/A#	44	0	0
41	Key=d	45	1/4	1/4
42	Gm7/F	45	1/4	1/4
43	B-m	46	0	0
44	Key=Bb	46	1/4	1/4
45	B-/F	46	1/4	1/4
46	Key=d	47	0	0
47	B-	47	0	0
48	A	48	1/4	1/4
49	D	50	0	0
