	label	mc	mc_onset	mn_onset
0	Key=A	0	1/16	5/16
1	A	0	1/16	5/16
2	E7	1	0	0
3	A	2	0	0
4	E7	3	0	0
5	A/C#	4	0	0
6	D	5	0	0
7	E	5	1/4	1/4
8	A/C#	6	1/4	1/4
9	Key=E	7	0	0
10	B	7	0	0
11	Key=A	8	0	0
12	E	8	0	0
13	D	9	0	0
14	E	9	1/4	1/4
15	A	10	0	0
16	E7	11	0	0
17	A/C#	12	0	0
18	C#o/G	13	0	0
19	F#	13	1/4	1/4
20	G#o/B	14	0	0
21	A	15	0	0
22	Bm	17	0	0
23	C#	17	1/4	1/4
24	Bm/D	19	0	0
25	E	19	1/4	1/4
26	Key=E	21	0	0
27	B7	21	0	0
28	Key=A	22	0	0
29	A6	22	0	0
30	F#m	22	1/4	1/4
31	Key=E	23	0	0
32	B/D#	23	0	0
33	Key=A	23	1/4	1/4
34	E/G#	23	1/4	1/4
35	A/C#	24	0	0
36	Bm	25	0	0
37	C#	25	1/4	1/4
38	Bm/D	27	0	0
39	E	27	1/4	1/4
40	Key=E	29	0	0
41	D#o7	29	0	0
42	B7	29	1/4	1/4
43	Key=A	30	0	0
44	F#m	30	0	0
45	A	30	1/4	1/4
46	Dm/F	31	0	0
47	E/G#	31	1/4	1/4
48	A	32	0	0
49	Key=D	33	0	0
50	A7	33	0	0
51	F#o7/A	34	0	0
52	Key=A	35	0	0
53	G#o7	35	0	0
54	G#o	35	3/16	3/16
55	A	36	0	0
56	A/C#	36	1/4	1/4
57	Key=D	37	0	0
58	A7	37	0	0
59	Key=A	38	0	0
60	Amaj7add6-5	38	0	0
61	Key=D	38	1/4	1/4
62	A7-5	38	1/4	1/4
63	Key=A	39	0	0
64	G#sus2-5add7	39	0	0
65	A	40	0	0
66	E	41	0	0
67	A	43	0	0
68	E	45	0	0
69	D-5	46	0	0
70	A	48	0	0
71	Bm	48	1/4	1/4
72	Key=E	49	0	0
73	B7	49	0	0
74	Key=A	51	0	0
75	G#o	51	0	0
76	E/B	52	0	0
77	E7/G#	53	0	0
78	A/C#	54	0	0
79	D	56	0	0
