	label	mc	mc_onset	mn_onset
0	Key=C	0	0	0
1	C	0	0	0
2	Dm	2	0	0
3	Dm/F	2	1/4	1/4
4	G7/F	4	0	0
5	C/G	6	0	0
6	G	8	0	0
7	Key=G	12	0	0
8	D	12	0	0
9	D7/F#	12	1/4	1/4
10	G	13	0	0
11	D	14	1/4	1/4
12	Key=C	15	0	0
13	F	15	0	0
14	Key=G	15	1/4	1/4
15	D	15	1/4	1/4
16	Key=C	16	0	0
17	C	16	0	0
18	Dm	18	0	0
19	A	18	1/4	1/4
20	G7/F	20	0	0
21	C	22	0	0
22	G	22	1/4	1/4
23	F	24	0	0
24	G	26	0	0
25	C	26	1/4	1/4
26	Dm	28	0	0
27	G	28	1/4	1/4
28	Am	30	0	0
29	C/E	30	3/16	3/16
30	C	30	1/4	1/4
31	F	31	0	0
32	Am	31	1/4	1/4
33	Key=a	32	0	0
34	E/G#	32	0	0
35	Key=C	34	0	0
36	Am	34	0	0
37	Key=G	36	0	0
38	D	36	0	0
39	D7/F#	36	1/4	1/4
40	Key=C	38	0	0
41	Gsus4	38	0	0
42	G7/F	40	0	0
43	Eo	42	0	0
44	C/E	42	1/4	1/4
45	G7/F	44	0	0
46	C	46	0	0
47	C/E	46	1/4	1/4
48	C	47	0	0
49	F	49	0	0
50	C/E	51	0	0
51	G	51	1/4	1/4
52	B-/D	53	0	0
53	Key=d	55	0	0
54	A/C#	55	0	0
55	Key=C	57	0	0
56	B-	57	0	0
57	C	59	0	0
58	F	59	1/4	1/4
59	C	60	1/4	1/4
60	G7/B	61	0	0
61	Key=F	63	0	0
62	C7	63	0	0
63	Key=C	65	0	0
64	F	65	0	0
65	C/E	67	0	0
66	G	67	1/4	1/4
67	B-/D	69	0	0
68	Dm	70	1/4	1/4
69	Key=d	71	0	0
70	A/C#	71	0	0
71	Key=C	73	0	0
72	B-	73	0	0
73	C	75	0	0
74	F	75	1/4	1/4
75	C	76	1/4	1/4
76	G/B	77	0	0
77	C	77	1/4	1/4
78	F	79	0	0
79	G	80	0	0
