	label	mc	mc_onset	mn_onset
0	Key=e	0	0	0
1	E	0	0	0
2	B/D#	1	0	0
3	Key=a	2	0	0
4	Bø7/D	2	0	0
5	E7/G#	3	0	0
6	Key=e	4	0	0
7	Asus4	4	0	0
8	Key=b	5	0	0
9	F#7/A#	5	0	0
10	Key=e	6	0	0
11	Em7	6	0	0
12	Key=A	7	0	0
13	E7	7	0	0
14	Key=e	8	0	0
15	F#ø7	8	0	0
16	Key=E	9	0	0
17	B7	9	0	0
18	Esus4	10	0	0
19	Key=B	11	0	0
20	F#7	11	0	0
21	B	12	0	0
22	F#7/C#	13	0	0
23	F#	14	0	0
24	Key=e	15	0	0
25	D#o7/F#	15	0	0
26	B	16	0	0
27	B7/D#	17	0	0
28	Bø7/D	18	0	0
29	Key=a	19	0	0
30	E7/G#	19	0	0
31	Key=e	20	0	0
32	Asus4	20	0	0
33	Key=b	21	0	0
34	F#7/A#	21	0	0
35	Key=e	22	0	0
36	Em/G	22	0	0
37	Em	24	0	0
38	Am7	25	0	0
39	Esus2add7/G	26	0	0
40	Em7/G	26	1/4	1/4
41	Am	27	0	0
42	Am7	28	0	0
43	B7	29	0	0
44	Em	30	0	0
45	Em/G	31	0	0
46	Am7	32	0	0
47	F#ø7/C	33	0	0
48	Em7/B	34	0	0
49	Key=G	35	0	0
50	Esus2add7/G	35	0	0
51	Am	36	0	0
52	D76	37	0	0
53	G	38	0	0
54	G/B	39	0	0
55	Key=C	39	1/2	1/2
56	Eo7/B-	39	1/2	1/2
57	Key=G	40	0	0
58	C/E	40	0	0
59	D7	41	0	0
60	Em/G	42	0	0
61	Key=b	43	0	0
62	F#7	43	0	0
63	Key=G	44	0	0
64	Bm	44	0	0
65	Key=D	45	0	0
66	A7	45	0	0
67	A	46	0	0
68	Key=G	47	0	0
69	D7	47	0	0
70	Am7	48	0	0
71	D7/C	49	0	0
72	G/B	50	0	0
73	D	51	0	0
74	D7/A	52	0	0
75	D76	53	0	0
76	G	54	0	0
77	Key=a	56	0	0
78	E7	56	0	0
79	Key=G	58	0	0
80	Am	58	0	0
81	E-	59	0	0
82	G/B	60	0	0
83	D7	61	0	0
84	Key=C	62	0	0
85	G	62	0	0
86	G7	63	0	0
87	C/E	64	0	0
88	A	65	0	0
89	C	67	0	0
90	G7sus4/F	68	0	0
91	G7/F	68	1/8	1/8
92	F	69	0	0
93	C6	70	0	0
94	Key=a	72	0	0
95	E7	72	0	0
96	Key=C	74	0	0
97	Fmaj7/A	74	0	0
98	Am	75	0	0
99	Gsus4	76	0	0
100	Key=e	77	0	0
101	B7/D#	77	0	0
102	Key=C	78	0	0
103	Esus4	78	0	0
104	G7	79	0	0
105	C/E	80	0	0
106	A	81	0	0
107	C	83	0	0
108	G7sus4	84	0	0
109	G7	84	1/4	1/4
110	F	85	0	0
111	C6	86	0	0
112	E7	88	0	0
113	Am	90	0	0
114	G7	91	0	0
115	Am7/C	92	0	0
116	G76	93	0	0
117	Csus2	94	0	0
118	C	94	1/8	1/8
