	label	mc	mc_onset	mn_onset
0	Key=d	0	0	3/16
1	A	0	0	3/16
2	Dm	1	0	0
3	Gm7	2	0	0
4	A7	3	0	0
5	Dsus2	4	0	0
6	Dm	4	1/16	1/16
7	Key=g	5	0	0
8	D7/F#	5	0	0
9	Key=d	6	0	0
10	Gsus4	6	0	0
11	A	7	0	0
12	A7	7	1/4	1/4
13	Dm	8	0	0
14	A7	8	1/4	1/4
15	Dm/F	9	0	0
16	Gm7	10	0	0
17	A7	11	0	0
18	Dsus2	12	0	0
19	Dm	12	1/16	1/16
20	Key=g	13	0	0
21	F#o7	13	0	0
22	Key=d	14	0	0
23	Gm-6	14	0	0
24	Dm/F	15	0	0
25	Asus4add6	15	1/4	1/4
26	A7	16	1/4	1/4
27	D	17	0	0
28	Key=E	17	1/4	1/4
29	B7	17	1/4	1/4
30	Key=A	18	0	0
31	E	18	0	0
32	Key=d	19	0	0
33	A	19	0	0
34	Key=D	20	1/4	1/4
35	A7	20	1/4	1/4
36	D/F#	21	0	0
37	Key=A	21	1/4	1/4
38	B7	21	1/4	1/4
39	Bm/F#	22	0	0
40	Key=d	23	0	0
41	Asus4add6	23	0	0
42	A7	23	1/4	1/4
43	Asus4	24	0	0
44	A7	24	1/4	1/4
45	Dm/F	25	0	0
46	Key=Bb	26	0	0
47	B-/D	26	0	0
48	F/A	27	0	0
49	B-	28	0	0
50	E-/G	29	0	0
51	Cø7	30	0	0
52	B-sus4	31	0	0
53	D7	32	0	0
54	Fsus2add7/E-	33	0	0
55	F7/E-	33	1/8	1/8
56	B-	34	0	0
57	F/A	35	0	0
58	B-sus4	36	0	0
59	F7	38	0	0
60	B-sus4	39	0	0
61	Cm	40	0	0
62	Ao/C	40	1/4	1/4
63	Key=d	41	0	0
64	A7	41	0	0
65	Dm	42	0	0
