	label	mc	mc_onset	mn_onset
0	Key=d	0	3/8	3/8
1	A	0	3/8	3/8
2	Key=A	1	0	0
3	D7sus4	1	0	0
4	E7	2	0	0
5	Key=d	3	0	0
6	A6	3	0	0
7	Key=A	4	0	0
8	Dm	4	0	0
9	Key=a	5	0	0
10	E7	5	0	0
11	Am	6	0	0
12	E6	7	0	0
13	Key=d	8	0	0
14	A7	8	0	0
15	Dm	9	0	0
16	Key=A	10	0	0
17	E	10	0	0
18	Key=d	11	0	0
19	A76	11	0	0
20	Dm	12	0	0
21	C#o7/E-3	14	0	0
22	A	15	0	0
23	Dm	16	0	0
24	Key=F	16	1/4	1/4
25	C7	16	1/4	1/4
26	C	17	0	0
27	Key=C	18	0	0
28	G7	18	0	0
29	Key=F	19	0	0
30	C7	19	0	0
31	F	20	0	0
32	C	21	0	0
33	Key=C	21	1/4	1/4
34	G7/B	21	1/4	1/4
35	Key=F	22	0	0
36	C	22	0	0
37	Key=C	23	0	0
38	G7	23	0	0
39	Key=F	24	0	0
40	C7	24	0	0
41	F	25	0	0
42	Key=C	26	0	0
43	G7	26	0	0
44	Key=F	27	0	0
45	C7	27	0	0
46	F	28	0	0
47	Key=Bb	29	0	0
48	F7	29	0	0
49	F#madd+3	30	0	0
50	Key=F	31	0	0
51	F	31	0	0
52	C	31	1/4	1/4
53	F	32	0	0
54	Key=d	32	1/4	1/4
55	A7/E	32	1/4	1/4
56	Key=D	33	0	0
57	Asus4	33	0	0
58	D/F#	34	0	0
59	Key=A	35	0	0
60	Emaj7	35	0	0
61	Key=D	36	0	0
62	A7	36	0	0
63	A	37	0	0
64	Key=b	38	0	0
65	F#7	38	0	0
66	Key=D	39	0	0
67	Bm	39	0	0
68	Key=A	40	0	0
69	E7	40	0	0
70	Key=D	41	0	0
71	A7	41	0	0
72	D	42	0	0
73	Em	43	0	0
74	Key=b	44	0	0
75	F#7	44	0	0
76	Key=D	45	0	0
77	A	45	0	0
78	B-	46	0	0
79	A	48	0	0
80	D/F#	49	0	0
81	A7	49	1/4	1/4
82	D	50	0	0
