	label	mc	mc_onset	mn_onset
0	Key=G	0	0	3/8
1	Bm/D	0	0	3/8
2	G	1	0	0
3	F#o/A	2	0	0
4	D	4	0	0
5	G	5	1/4	1/4
6	Key=b	6	0	0
7	F#	6	0	0
8	Key=G	8	0	0
9	Bm	8	0	0
10	D7/C	8	1/4	1/4
11	G/B	9	1/4	1/4
12	F#o/A	10	0	0
13	D	11	0	0
14	G	12	0	0
15	F#o	12	1/4	1/4
16	Key=D	13	0	0
17	A	13	0	0
18	D	14	0	0
19	Key=A	15	0	0
20	E7/G#	15	0	0
21	Key=D	16	0	0
22	G	16	0	0
23	D	17	0	0
24	Key=A	18	0	0
25	E	18	0	0
26	Key=D	19	0	0
27	A7/E	19	0	0
28	D	20	0	0
29	Dm	21	0	0
30	A/C#	24	0	0
31	D	25	0	0
32	Key=E	25	1/4	1/4
33	B7/F#	25	1/4	1/4
34	Key=A	26	0	0
35	E	26	0	0
36	Key=D	27	0	0
37	A7/E	27	0	0
38	D	28	0	0
39	Dm	29	0	0
40	D/F#	30	0	0
41	B7	31	0	0
42	A7	31	1/4	1/4
43	D	32	0	0
44	G	33	0	0
45	A	35	0	0
46	Key=C	36	0	0
47	G7/D	36	0	0
48	G	37	0	0
49	Dm	38	0	0
50	G	38	1/4	1/4
51	C	39	0	0
52	G7/B	40	0	0
53	C	41	0	0
54	G	42	0	0
55	Key=G	43	0	0
56	D	43	0	0
57	Key=C	44	0	0
58	G7/D	44	0	0
59	C/E	45	0	0
60	G#o	46	0	0
61	G7/D	46	1/4	1/4
62	C	47	0	0
63	F	47	1/4	1/4
64	E/G#	48	0	0
65	C	49	0	0
