	label	mc	mc_onset	mn_onset
0	Key=C	0	0	3/8
1	C	0	0	3/8
2	G/B	3	0	0
3	C	3	1/4	1/4
4	Am	4	0	0
5	Key=G	5	0	0
6	F#o7	5	0	0
7	Key=C	6	0	0
8	G	6	0	0
9	C/E	9	0	0
10	Key=G	9	1/4	1/4
11	D	9	1/4	1/4
12	Key=C	11	0	0
13	C	11	0	0
14	Key=a	11	1/4	1/4
15	E/G#	11	1/4	1/4
16	Key=C	12	0	0
17	Am	12	0	0
18	Key=G	13	0	0
19	F#o7	13	0	0
20	F#o/A	14	0	0
21	Key=C	14	1/4	1/4
22	G7	14	1/4	1/4
23	C	16	3/8	3/8
24	Key=a	17	1/4	1/4
25	E/G#	17	1/4	1/4
26	Am	18	0	0
27	Dm	19	0	0
28	Key=d	19	1/4	1/4
29	A/C#	19	1/4	1/4
30	Key=a	20	0	0
31	Dm	20	0	0
32	F	21	0	0
33	Am	21	1/4	1/4
34	E	22	0	0
35	Am	22	1/4	1/4
36	Dm	23	0	0
37	G#o7/F	23	1/4	1/4
38	C	25	0	0
39	E/G#	25	1/4	1/4
40	Am	26	0	0
41	Dm	27	0	0
42	Key=d	27	1/4	1/4
43	A/C#	27	1/4	1/4
44	Key=a	28	0	0
45	Dm	28	0	0
46	F	29	0	0
47	Am	29	1/4	1/4
48	E	30	0	0
49	Am	30	1/4	1/4
50	E	31	0	0
51	Am	34	0	0
52	Key=F	34	1/4	1/4
53	C7/B-	34	1/4	1/4
54	B-	35	0	0
55	A/C#	35	1/4	1/4
56	Em	36	0	0
57	Gm/B-	37	0	0
58	F	38	0	0
59	Dm	38	1/4	1/4
60	Key=C	39	0	0
61	C	39	0	0
62	G/B	40	0	0
63	Key=F	41	0	0
64	C7	41	0	0
65	B-	43	0	0
66	Key=C	44	0	0
67	E	44	0	0
68	Em	44	1/4	1/4
69	F	45	0	0
70	Bo	46	0	0
71	Key=a	46	1/4	1/4
72	G#o7	46	1/4	1/4
73	Key=C	47	0	0
74	F/A	47	0	0
75	G/B	48	0	0
76	Key=F	48	1/4	1/4
77	Eo/B-	48	1/4	1/4
78	F/A	49	0	0
79	Key=C	50	0	0
80	C	50	0	0
