	label	mc	mc_onset	mn_onset
0	Key=A	0	1/16	5/16
1	A	0	1/16	5/16
2	E7	1	0	0
3	A	2	0	0
4	E7	3	0	0
5	A	4	0	0
6	E7	5	0	0
7	A	6	0	0
8	Key=E	7	0	0
9	B7	7	0	0
10	Key=A	8	0	0
11	E7	8	0	0
12	A	10	0	0
13	E7	11	0	0
14	A	12	0	0
15	Key=b	13	0	0
16	A#o7/E	13	0	0
17	Key=A	14	0	0
18	Bsus2	14	0	0
19	G#ø7/D	14	1/4	1/4
20	A	15	0	0
21	E7	15	1/4	1/4
22	A	16	0	0
23	C#sus2add7/G#	17	0	0
24	C#7/G#	17	1/16	1/16
25	Dmaj7/F#	18	0	0
26	Esus2add7	19	0	0
27	E7	19	1/16	1/16
28	Amaj76	20	0	0
29	Amaj7	20	3/16	3/16
30	Key=E	21	0	0
31	D#o7/F#	21	0	0
32	Key=A	22	0	0
33	A6	22	0	0
34	Key=E	23	0	0
35	B7	23	0	0
36	Key=A	23	1/4	1/4
37	E7	23	1/4	1/4
38	A	24	0	0
39	C#sus2add7/G#	25	0	0
40	C#7/G#	25	1/16	1/16
41	Dmaj7/F#	26	0	0
42	Esus2add7	27	0	0
43	E7	27	1/16	1/16
44	Amaj76	28	0	0
45	Amaj7	28	3/16	3/16
46	Key=E	29	0	0
47	D#o7/F#	29	0	0
48	Key=A	30	0	0
49	A	30	0	0
50	E	31	0	0
51	E7/D	31	1/4	1/4
52	A/E	32	0	0
53	Key=D	33	0	0
54	A7	33	0	0
55	A7/G	33	1/4	1/4
56	F#o7/A	34	0	0
57	Ao7	34	1/4	1/4
58	Key=A	35	0	0
59	G#sus2-5add7	35	0	0
60	Key=D	36	0	0
61	A	36	0	0
62	A7	37	0	0
63	Amaj7add6-5	38	0	0
64	F#m/Aadd-7	38	1/4	1/4
65	Key=A	39	0	0
66	G#sus2-5add7	39	0	0
67	Key=D	40	0	0
68	A	40	0	0
69	Asus2add7	41	0	0
70	A7	41	3/16	3/16
71	D6	43	0	0
72	Key=A	45	0	0
73	Esus2add7	45	0	0
74	E7	45	3/16	3/16
75	Key=D	46	0	0
76	Asus2add7	46	0	0
77	A7	46	3/16	3/16
78	D	48	0	0
79	Asus2add7	49	0	0
80	A7	49	3/16	3/16
81	D6	51	0	0
82	Key=G	52	0	0
83	D7sus4/C	52	0	0
84	D7/C	52	1/16	1/16
85	Key=D	53	0	0
86	Em7/B	53	0	0
87	Key=A	53	1/4	1/4
88	G#o7/B	53	1/4	1/4
89	Key=D	54	0	0
90	Asus2	54	0	0
91	A7/G	54	1/4	1/4
92	Dsus2/F#	55	0	0
93	A/E	55	1/4	1/4
94	D	56	0	0
