	label	mc	mc_onset	mn_onset
0	Key=c	0	0	0
1	Cm	0	0	0
2	Fm	2	0	0
3	Fm/A-	3	0	0
4	G	4	0	0
5	G7/F	5	0	0
6	Cm	6	0	0
7	Do/F	8	0	0
8	Bo7/F	9	0	0
9	Cm	10	0	0
10	G7	11	0	0
11	Cm	12	0	0
12	G7	13	0	0
13	Cm/E-	16	0	0
14	Fm	18	0	0
15	Dø7/A-	19	0	0
16	G	20	0	0
17	G7/F	21	0	0
18	Cm	22	0	0
19	A-	23	0	0
20	D-	24	0	0
21	Gsus4	26	0	0
22	Cm	27	0	0
23	G7	29	0	0
24	Cm	30	0	0
25	G	32	0	0
26	Key=C	33	0	0
27	C	33	0	0
28	E7/B	33	1/4	1/4
29	Eø7/B-	33	1/2	1/2
30	A	34	0	0
31	Asus4	34	3/8	3/8
32	G7sus4	36	0	0
33	G7	36	1/2	1/2
34	G	37	0	0
35	C6	38	0	0
36	G7	39	0	0
37	C	40	0	0
38	E/G#add-5	41	0	0
39	Dm/F	42	0	0
40	G7	43	0	0
41	C	44	0	0
42	G7	45	0	0
43	C	46	0	0
44	G	50	0	0
45	C	52	0	0
46	G	53	0	0
47	F	55	1/4	1/4
48	E	56	0	0
49	Key=a	57	1/8	1/8
50	E/G#	57	1/8	1/8
51	Key=C	58	0	0
52	Asus4	58	0	0
53	Key=G	60	0	0
54	D76	60	0	0
55	Key=C	62	0	0
56	G6	62	0	0
57	Gsus2add7	63	0	0
58	G7	63	1/8	1/8
59	C	64	0	0
60	G	66	0	0
61	C	68	0	0
62	G	69	0	0
63	F	71	1/4	1/4
64	E	72	0	0
65	Key=a	73	1/8	1/8
66	E7	73	1/8	1/8
67	Key=C	74	0	0
68	Asus4	74	0	0
69	Am/C	76	0	0
70	G7	76	1/2	1/2
71	C	78	0	0
